title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Super view on the 16th floor.,"Great hotel for a weekend getaway. At the moment everything is closed so it’s easy to get a great view for cheap. My only issue with this hotel is that it has a few rough edges, bathroom decor and furniture. Good staff and location.",January 2021,Eurotel Riviera Montreux,https://www.tripadvisor.com/Hotel_Review-g188108-d228175-Reviews-Eurotel_Riviera_Montreux-Montreux_Canton_of_Vaud.html,"Montreux, Switzerland",hotels,4.0,4.0
One of the best museums to see.,One of the best museums to see. The pergamon museum is easy to access and tickets are not too expensive. Take your time and enjoy.,August 2020,Pergamonmuseum,https://www.tripadvisor.com/Attraction_Review-g187323-d190527-Reviews-Pergamonmuseum-Berlin.html,"Berlin, Germany",attractions,5.0,4.5
One of the most amazing sites.,The pantheon in Rome is one of the top sites to see. It’s not a long walk from any of the many bus stops and it’s easily accessible for the elderly.,October 2019,Pantheon,https://www.tripadvisor.com/Attraction_Review-g187791-d197714-Reviews-Pantheon-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Amazing site to visit.,Amazing site to visit. Plan on a long hike and a lot of heat from the sun. The ground is also very slippery so do ware good shoes.,August 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
My new favorite Greek vegan restaurant,"This vegan restaurant is loaded with tasty options. The menu of course is in English and Greek. The tzatziki was excellent! This is not your typical vegan salad bowl place. It’s like you went to grandmas house to eat. The portions are huge and the food is made like someone cares. I give Veganaki a five for great service, cleanliness and awesome taste. My family enjoyed everything. See you next time.",August 2020,Veganaki,https://www.tripadvisor.com/Restaurant_Review-g189400-d4213742-Reviews-Veganaki-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Best hidden gem in Geneva,We have eaten here once a week since they first opened. This is one of the best hidden gems of Geneva. I highly recommend the masala dosa. Thank you again Shiva.,August 2020,Shiva Restaurant,https://www.tripadvisor.com/Restaurant_Review-g188057-d10831732-Reviews-Shiva_Restaurant-Geneva.html,"Geneva, Switzerland",restaurants,5.0,4.5
Great quality food for the money,A great restaurant for an authentic taste of India. A list of a few likes: The service is fast and professional. The cleanliness is very good. The location is close to center. The prices are not too expensive. Quality and quantity of the dishes are great. My wife and I will eat here next time we visit town. Thanks for a good evening.,August 2020,Indian Restaurant Kashmiri Chez Bilia,https://www.tripadvisor.com/Restaurant_Review-g188108-d12453528-Reviews-Indian_Restaurant_Kashmiri_Chez_Bilia-Montreux_Canton_of_Vaud.html,"Montreux, Switzerland",restaurants,5.0,4.5
Takes you to Greece 🇬🇷,Konstantinos and his team have really nailed it here. I highly recommend this restaurant because it takes you home to Greece. This restaurant has the friendliest staff and the freshest tastes around. You feel the confidence of an experienced chef with the service and execution. (The vegetarian food menu exceeded expectations) We will definitely be back to indulge in this fine Greek food.,July 2020,Khora,https://www.tripadvisor.com/Restaurant_Review-g188057-d18942467-Reviews-Khora-Geneva.html,"Geneva, Switzerland",restaurants,5.0,4.0
A trip back in time with a modern touch.,"My wife and I stayed one night on our visit to the city. We loved the balcony view of the lake and church, we also adored the cute little restaurant downstairs. It felt a bit like dining in a medieval castle. We will definitely stay again. Train station and old town walking distance was a big plus too.",May 2020,Hotel Rebstock,https://www.tripadvisor.com/Hotel_Review-g188064-d238690-Reviews-Hotel_Rebstock-Lucerne.html,"Lucerne, Switzerland",hotels,5.0,4.0
Excellent! Great vegan menu!,We had a great dinner! The veggie menu is almost completely vegan and a the few that aren’t can be made so. I have no complaints at all with the service or taste of foods served. Excellent!,May 2020,Song Pi Nong,https://www.tripadvisor.com/Restaurant_Review-g188064-d2213435-Reviews-Song_Pi_Nong-Lucerne.html,"Lucerne, Switzerland",restaurants,5.0,4.5
